127.0.0.1 - - [31/Mar/2021:09:22:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:22:18 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:22:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:23:22 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:26:38 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:26:38 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:29:19 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:29:19 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:29:19 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:32:40 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:32:41 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:32:41 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:32:51 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:32:51 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:33:38 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:33:38 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:33:40 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:01 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:02 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:02 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:03 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:20 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:20 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:38 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:39 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:57 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:57 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:35:57 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:36:53 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:36:53 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:36:53 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:37:46 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:37:46 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:37:46 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:26 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:26 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:26 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:27 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:27 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:47 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:47 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:48 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:48 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:48 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:48 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:48 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
